"first_name","middle_name","last_name","full_name","gender","origin"
"dirk","","langemann","dirk langemann","m","zbmath"
"marie","francoise","delcroix","marie francoise delcroix","f","zbmath"
"hatem","","najar","hatem najar","m","zbmath"
"vladimir","","lifshitz","vladimir lifshitz","m","zbmath"
"mihyun","","kang","mihyun kang","f","zbmath"
"tatsuo","","sakai","tatsuo sakai","m","zbmath"
"alexander","","doktor","alexander doktor","m","zbmath"
"suhasini","subba","rao","suhasini subba rao","f","zbmath"
"roger","","jones","roger jones","m","zbmath"
"david","matthew","kelly","david matthew kelly","m","zbmath"
"diane","","hope","diane hope","f","zbmath"
"marc","","wouts","marc wouts","m","zbmath"
"horst","","kreth","horst kreth","m","zbmath"
"mark","","nixon","mark nixon","m","zbmath"
"florin","","vulpescu-jalea","florin vulpescu-jalea","m","zbmath"
"thomas","","king","thomas king","m","zbmath"
"kenji","","nishida","kenji nishida","m","zbmath"
"christian","","doring","christian doring","m","zbmath"
"norman","","levin","norman levin","m","zbmath"
"andreas","","floer","andreas floer","m","zbmath"
"vitaly","","ushakov","vitaly ushakov","m","zbmath"
"tomonori","","yamada","tomonori yamada","m","zbmath"
"stephen","","williamson","stephen williamson","m","zbmath"
"kent","","cantwell","kent cantwell","m","zbmath"
"igor","","samoilovych","igor samoilovych","m","zbmath"
"james","murray","hill","james murray hill","m","zbmath"
"henrik","","vosegaard","henrik vosegaard","m","zbmath"
"leonard","","kwuida","leonard kwuida","m","zbmath"
"gordon","","volk","gordon volk","m","zbmath"
"hamdi","","zorgati","hamdi zorgati","m","zbmath"
"lubica","","stanekova","lubica stanekova","f","zbmath"
"massimiliano","","pastore","massimiliano pastore","m","zbmath"
"catherine","","pardoux","catherine pardoux","f","zbmath"
"ernest","","rothman","ernest rothman","m","zbmath"
"emese","","vargyas","emese vargyas","f","zbmath"
"lutfi","","avazpour","lutfi avazpour","u","zbmath"
"zoltan","","boros","zoltan boros","m","zbmath"
"reiner","","kallenborn","reiner kallenborn","m","zbmath"
"taro","","takimoto","taro takimoto","m","zbmath"
"gabrijela","","grujic","gabrijela grujic","f","zbmath"
"dmitry","","tamarkin","dmitry tamarkin","m","zbmath"
"cuong","","le","cuong le","u","zbmath"
"maria","zofia","banaszczyk","maria zofia banaszczyk","f","zbmath"
"mehmet","namik","oguztoereli","mehmet namik oguztoereli","m","zbmath"
"irena","","lasiecka","irena lasiecka","f","zbmath"
"gary","","greenfield","gary greenfield","m","zbmath"
"rafael","","munoz-sola","rafael munoz-sola","m","zbmath"
"tomasz","","gorazd","tomasz gorazd","m","zbmath"
"seiya","","abe","seiya abe","m","zbmath"
"alexei","yu","karlovich","alexei yu karlovich","m","zbmath"
"ingrid","","glad","ingrid glad","f","zbmath"
"salah","","drabla","salah drabla","m","zbmath"
"malcolm","","cousland","malcolm cousland","m","zbmath"
"kunio","","kakie","kunio kakie","u","zbmath"
"hideki","","nakamura","hideki nakamura","m","zbmath"
"philipp","","bodewig","philipp bodewig","m","zbmath"
"avi","","bick","avi bick","m","zbmath"
"soo","jin","kim","soo jin kim","f","zbmath"
"maciej","","dunajski","maciej dunajski","m","zbmath"
"daniel","","davison","daniel davison","m","zbmath"
"meenu","","verma","meenu verma","f","zbmath"
"stephen","","cowin","stephen cowin","m","zbmath"
"veska","","noncheva","veska noncheva","f","zbmath"
"stavros","","kousidis","stavros kousidis","m","zbmath"
"carlos","","garcia","carlos garcia","m","zbmath"
"andrey","","gromov","andrey gromov","m","zbmath"
"penny","","whiting","penny whiting","f","zbmath"
"arthur","","rothstein","arthur rothstein","m","zbmath"
"samuel","","alexander","samuel alexander","m","zbmath"
"miwa","","iwakura","miwa iwakura","f","zbmath"
"maurice","","goursat","maurice goursat","m","zbmath"
"krystyna","","gozdalska","krystyna gozdalska","f","zbmath"
"alexandru","","ghitza","alexandru ghitza","m","zbmath"
"abdullah","","saleh","abdullah saleh","m","zbmath"
"nader","","fallah","nader fallah","m","zbmath"
"serkan","","gugercin","serkan gugercin","m","zbmath"
"thomas","","knispel","thomas knispel","m","zbmath"
"paul","","ribenboim","paul ribenboim","m","zbmath"
"viorel","","cornea","viorel cornea","m","zbmath"
"yann","","peresse","yann peresse","m","zbmath"
"sung","hoon","hong","sung hoon hong","u","zbmath"
"paul","","pinsky","paul pinsky","m","zbmath"
"enrico","","massa","enrico massa","m","zbmath"
"brad","","biggerstaff","brad biggerstaff","m","zbmath"
"stephen","","brooks","stephen brooks","m","zbmath"
"stanislaw","","wronski","stanislaw wronski","m","zbmath"
"figen","acil","kiraz","figen acil kiraz","f","zbmath"
"rakesh","","vohra","rakesh vohra","m","zbmath"
"rahul","","varshney","rahul varshney","m","zbmath"
"luis","","bel","luis bel","m","zbmath"
"santiago","","mira","santiago mira","m","zbmath"
"sunil","","audich","sunil audich","m","zbmath"
"michel","","klein","michel klein","m","zbmath"
"antoine","","vandendorpe","antoine vandendorpe","m","zbmath"
"maura","","mezzetti","maura mezzetti","f","zbmath"
"carl","","metzler","carl metzler","m","zbmath"
"carlos","","coimbra","carlos coimbra","m","zbmath"
"freddy","","bouchet","freddy bouchet","m","zbmath"
"rama","","shankar","rama shankar","u","zbmath"
"jerald","","dauer","jerald dauer","m","zbmath"
"asim","kumar","mandal","asim kumar mandal","u","zbmath"
"waldemar","","cieslak","waldemar cieslak","m","zbmath"
"marta","","llorente","marta llorente","f","zbmath"
"christopher","","cannings","christopher cannings","m","zbmath"
"ori","","kfir","ori kfir","u","zbmath"
"maxim","","pavlov","maxim pavlov","m","zbmath"
"alberto","","verjovsky","alberto verjovsky","m","zbmath"
"erik","","monness","erik monness","m","zbmath"
"milija","","pavlovic","milija pavlovic","m","zbmath"
"fabrizio","","laurini","fabrizio laurini","m","zbmath"
"david","","woolbright","david woolbright","m","zbmath"
"hisayoshi","","shimizu","hisayoshi shimizu","m","zbmath"
"natalie","","thorne","natalie thorne","f","zbmath"
"izolda","","wiercinska","izolda wiercinska","f","zbmath"
"martin","","kruskemper","martin kruskemper","m","zbmath"
"mario","","perez-jimenez","mario perez-jimenez","m","zbmath"
"takahiro","","yatsuda","takahiro yatsuda","m","zbmath"
"antonio","","bonilla","antonio bonilla","m","zbmath"
"alf","birger","rustad","alf birger rustad","m","zbmath"
"james","","maynard","james maynard","m","zbmath"
"amir","","kavousi","amir kavousi","m","zbmath"
"robert","","godin","robert godin","m","zbmath"
"frode","","ronning","frode ronning","m","zbmath"
"kimiaki","","konno","kimiaki konno","u","zbmath"
"roel","","willems","roel willems","m","zbmath"
"gareth","","ambler","gareth ambler","m","zbmath"
"ronald","","gordon","ronald gordon","m","zbmath"
"norbert","","adasch","norbert adasch","m","zbmath"
"abdel","hadi","ahmed","abdel hadi ahmed","u","zbmath"
"konstantinos","","kanakoglou","konstantinos kanakoglou","m","zbmath"
"pierre","","marry","pierre marry","m","zbmath"
"nabil","","kahale","nabil kahale","m","zbmath"
"hitoshi","","horjo","hitoshi horjo","m","zbmath"
"dietrich","","suter","dietrich suter","m","zbmath"
"rade","","stanojevic","rade stanojevic","m","zbmath"
"thomas","","pietraho","thomas pietraho","m","zbmath"
"takuji","","sato","takuji sato","m","zbmath"
"kyriakos","","kilakos","kyriakos kilakos","m","zbmath"
"james","","maissen","james maissen","m","zbmath"
"irene","","livshits","irene livshits","f","zbmath"
"kelly","","schultz","kelly schultz","f","zbmath"
"nicusor","","minculete","nicusor minculete","m","zbmath"
"yoshihiko","","kitagaki","yoshihiko kitagaki","m","zbmath"
"nicolas","","george","nicolas george","m","zbmath"
"yurij","","lovejkin","yurij lovejkin","m","zbmath"
"joachim","","weickert","joachim weickert","m","zbmath"
"julio","","soria","julio soria","m","zbmath"
"matthias","","borowski","matthias borowski","m","zbmath"
"bernadette","","perrin-riou","bernadette perrin-riou","f","zbmath"
"anna","","bien","anna bien","f","zbmath"
"kazunori","","sakano","kazunori sakano","m","zbmath"
"sergey","","ermakov","sergey ermakov","m","zbmath"
"dragana","","cvetkovic-ilic","dragana cvetkovic-ilic","f","zbmath"
"andreas","","weinmann","andreas weinmann","m","zbmath"
"razvan","alin","satnoianu","razvan alin satnoianu","m","zbmath"
"beatriz","","sanz","beatriz sanz","f","zbmath"
"anna","","de-simone","anna de-simone","f","zbmath"
"huy","thang","cao","huy thang cao","u","zbmath"
"justin","","colannino","justin colannino","m","zbmath"
"andres","","ramirez","andres ramirez","m","zbmath"
"miroslaw","","slosarski","miroslaw slosarski","m","zbmath"
"steven","","french","steven french","m","zbmath"
"ben","da","zhou","ben da zhou","u","zbmath"
"agnese","","di-castro","agnese di-castro","f","zbmath"
"michael","","szarek","michael szarek","m","zbmath"
"yumiko","","watanabe","yumiko watanabe","f","zbmath"
"shaoqing","","liu","shaoqing liu","m","zbmath"
"kelong","","zhang","kelong zhang","u","zbmath"
"jinxiang","","yu","jinxiang yu","u","zbmath"
"yuecheng","","zhang","yuecheng zhang","u","zbmath"
"kenjiro","","yamada","kenjiro yamada","m","zbmath"
"po","","zhang","po zhang","u","zbmath"
"hon","kit","wai","hon kit wai","u","zbmath"
"bao","wen","sun","bao wen sun","u","zbmath"
"byoung","chan","lee","byoung chan lee","u","zbmath"
"qunfeng","","yang","qunfeng yang","u","zbmath"
"peter","","nickolas","peter nickolas","m","zbmath"
"rosario","","di-nardo","rosario di-nardo","u","zbmath"
"hiroshi","","okuno","hiroshi okuno","m","zbmath"
"shunpu","","zhang","shunpu zhang","m","zbmath"
"praveen","","agarwal","praveen agarwal","m","zbmath"
"phoebe","","hoidn","phoebe hoidn","f","zbmath"
"jacques","","pontier","jacques pontier","u","zbmath"
"james","","king","james king","m","zbmath"
"helena","","samajova","helena samajova","f","zbmath"
"george","","lowther","george lowther","m","zbmath"
"michael","","robertson","michael robertson","u","zbmath"
"carlos","renato","vazquez","carlos renato vazquez","m","zbmath"
"yuan","","xu","yuan xu","m","zbmath"
"b","jo","ptashnyk","b jo ptashnyk","m","zbmath"
"max","","landsberg","max landsberg","m","zbmath"
"xuanping","","huang","xuanping huang","u","zbmath"
"bjorn","","jahren","bjorn jahren","m","zbmath"
"smarajit","","bose","smarajit bose","m","zbmath"
"geoffrey","","ginsburg","geoffrey ginsburg","m","zbmath"
"chao","zhu","zhang","chao zhu zhang","u","zbmath"
"jingbo","","yu","jingbo yu","u","zbmath"
"ehud","","lehrer","ehud lehrer","m","zbmath"
"shanghsien","","lin","shanghsien lin","u","zbmath"
"dilek","","gulten","dilek gulten","f","zbmath"
"masaru","","takeuchi","masaru takeuchi","m","zbmath"
"carlos","","ruiz-salguero","carlos ruiz-salguero","m","zbmath"
"xiongping","","luo","xiongping luo","u","zbmath"
"adam","","van-tuyl","adam van-tuyl","m","zbmath"
"jwu","sheng","hu","jwu sheng hu","m","zbmath"
"shengzhi","","zhu","shengzhi zhu","u","zbmath"
"eric","","johnson","eric johnson","m","zbmath"
"percy","","pierre","percy pierre","m","zbmath"
"charles","","vuono","charles vuono","m","zbmath"
"wai","king","ching","wai king ching","u","zbmath"
"maria","conception","carvalho","maria conception carvalho","f","zbmath"
"feng","","rong","feng rong","m","zbmath"
"bowen","","yu","bowen yu","m","zbmath"
"paul","","kuhn","paul kuhn","m","zbmath"
"shigeki","","ohyanagi","shigeki ohyanagi","m","zbmath"
"zongyuan","","huang","zongyuan huang","u","zbmath"
"alexander","","andronov","alexander andronov","m","zbmath"
"luoluo","","liu","luoluo liu","u","zbmath"
"jirapha","","limbupasiriporn","jirapha limbupasiriporn","f","zbmath"
"cai","gui","liu","cai gui liu","u","zbmath"
"rodica","","boliac","rodica boliac","f","zbmath"
"jan","tijmen","udding","jan tijmen udding","m","zbmath"
"steve","","rosencrans","steve rosencrans","m","zbmath"
"hsueh","chuan","liu","hsueh chuan liu","m","zbmath"
"dae","","jong","dae jong","u","zbmath"
"eberhard","","siebert","eberhard siebert","m","zbmath"
"bernard","","dwork","bernard dwork","m","zbmath"
"gusztav","","rados","gusztav rados","m","zbmath"
"frieder","jens","lange","frieder jens lange","m","zbmath"
"sara","","mohanty","sara mohanty","f","zbmath"
"jesse","","beder","jesse beder","m","zbmath"
"timothy","","wagenmaker","timothy wagenmaker","m","zbmath"
"yasuyuki","","maeda","yasuyuki maeda","m","zbmath"
"chunyang","","yuan","chunyang yuan","u","zbmath"
"ahmed","","zeriahi","ahmed zeriahi","m","zbmath"
"cheng","wei","chen","cheng wei chen","u","zbmath"
"yahya","","mezroui","yahya mezroui","u","zbmath"
"syuichi","","yaguchi","syuichi yaguchi","u","zbmath"
"johann","","brauchart","johann brauchart","m","zbmath"
"niclas","","sjogren","niclas sjogren","m","zbmath"
"john","wilson","calkin","john wilson calkin","m","zbmath"
"luquan","","pan","luquan pan","u","zbmath"
"igor","","litvin","igor litvin","m","zbmath"
"benhadid","","ayache","benhadid ayache","u","zbmath"
"yamin","","ma","yamin ma","u","zbmath"
"leming","","cheng","leming cheng","u","zbmath"
"zvezdelina","","stankova-frenkel","zvezdelina stankova-frenkel","f","zbmath"
"junkyun","","choi","junkyun choi","m","zbmath"
"giuliana","","bianchi","giuliana bianchi","f","zbmath"
"haim","","reingold","haim reingold","m","zbmath"
"gavin","","shaddick","gavin shaddick","m","zbmath"
"tack","wang","lee","tack wang lee","u","zbmath"
"angel","","dichev","angel dichev","m","zbmath"
"algimantas","","janusauskas","algimantas janusauskas","m","zbmath"
"ravi","","kumar","ravi kumar","m","zbmath"
"henning","","petzka","henning petzka","m","zbmath"
"paul","","yang","paul yang","m","zbmath"
"robert","","roe","robert roe","m","zbmath"
"francis","","leahy","francis leahy","u","zbmath"
"yanwen","","shang","yanwen shang","m","zbmath"
"percy","","sanchez","percy sanchez","m","zbmath"
"gregory","","white","gregory white","m","zbmath"
"ann","","thayer","ann thayer","u","genderize_r_authors"
"paolo","","chiesa","paolo chiesa","m","genderize_r_authors"
"ernesto","","abbate","ernesto abbate","m","genderize_r_authors"
"john","","epstein","john epstein","m","genderize_r_authors"
"margaret","","cotroneo","margaret cotroneo","f","genderize_r_authors"
"nicole","","kresge","nicole kresge","f","genderize_r_authors"
"robert","","simoni","robert simoni","m","genderize_r_authors"
"robert","","hill","robert hill","m","genderize_r_authors"
"ruth","","williams","ruth williams","f","genderize_r_authors"
"eric","","fine","eric fine","u","genderize_r_authors"
"geoff","","watts","geoff watts","m","genderize_r_authors"
"gerhard","","burkhardt","gerhard burkhardt","m","genderize_r_authors"
"hellmut","","reuss","hellmut reuss","u","genderize_r_authors"
"stephanie","","cash","stephanie cash","f","genderize_r_authors"
"david","","ebony","david ebony","m","genderize_r_authors"
"martin","","cooper","martin cooper","m","genderize_r_authors"
"mary","","clarke","mary clarke","f","genderize_r_authors"
"arnold","","whittall","arnold whittall","m","genderize_r_authors"
"prashant","","nair","prashant nair","m","genderize_r_authors"
"steven","","schwarz","steven schwarz","m","genderize_r_authors"
"rodolfo","","saracci","rodolfo saracci","m","genderize_r_authors"
"celso","","lafer","celso lafer","m","genderize_r_authors"
"judith","louisa","schmid","judith louisa schmid","u","genderize_r_authors"
"luigi","","clauser","luigi clauser","m","genderize_r_authors"
"james","","marshall","james marshall","m","genderize_r_authors"
"mark","","finlay","mark finlay","m","genderize_r_authors"
"shizuo","","akira","shizuo akira","u","genderize_r_authors"
"linda","","raber","linda raber","f","genderize_r_authors"
"hannah","","waters","hannah waters","f","genderize_r_authors"
"margaret","","shupnik","margaret shupnik","f","genderize_r_authors"
"heinrich","","schima","heinrich schima","m","genderize_r_authors"
"bart","","meyns","bart meyns","m","genderize_r_authors"
"beat","","walpoth","beat walpoth","m","genderize_r_authors"
"john","","booth","john booth","m","genderize_r_authors"
"john","","geer","john geer","m","genderize_r_authors"
"mitch","","seligson","mitch seligson","m","genderize_r_authors"
"michael","","ewart","michael ewart","m","genderize_r_authors"
"andrea","","luke","andrea luke","f","genderize_r_authors"
"dieter","","mewes","dieter mewes","m","genderize_r_authors"
"lisa","","kraus","lisa kraus","f","genderize_r_authors"
"donald","","lynden-bell","donald lynden-bell","m","genderize_r_authors"
"thomas","","golob","thomas golob","u","genderize_r_authors"
"molly","","haight","molly haight","u","genderize_r_authors"
"lisa","","harlow","lisa harlow","u","genderize_r_authors"
"thomas","","pinnavaia","thomas pinnavaia","m","genderize_r_authors"
"charles","","letocha","charles letocha","m","genderize_r_authors"
"ludwig","","joerissen","ludwig joerissen","m","genderize_r_authors"
"irwin","","braverman","irwin braverman","u","genderize_r_authors"
"wolfgang","","glatzer","wolfgang glatzer","m","genderize_r_authors"
"robert","","burton","robert burton","m","genderize_r_authors"
"graham","","thompson","graham thompson","m","genderize_r_authors"
"george","","helffrich","george helffrich","m","genderize_r_authors"
"james","","findlay","james findlay","m","genderize_r_authors"
"gordon","","dutton","gordon dutton","m","genderize_r_authors"
"antoni","","prusinski","antoni prusinski","m","genderize_r_authors"
"earl","","taft","earl taft","u","genderize_r_authors"
"emilia","","visileanu","emilia visileanu","f","genderize_r_authors"
"erkin","","mirrakhimov","erkin mirrakhimov","m","genderize_r_authors"
"alan","","trounson","alan trounson","m","genderize_r_authors"
"becky","","parker","becky parker","f","genderize_r_authors"
"giovanni","","fava","giovanni fava","m","genderize_r_authors"
"paul","","ladenson","paul ladenson","u","genderize_r_authors"
"dann","","mitchell","dann mitchell","m","genderize_r_authors"
"harry","","nursten","harry nursten","u","genderize_r_authors"
"anthony","","dyson","anthony dyson","u","genderize_r_authors"
"sarah","","reid","sarah reid","u","genderize_r_authors"
"michael","","knoll","michael knoll","u","genderize_r_authors"
"michael","","baer","michael baer","m","genderize_r_authors"
"elda","","gaino","elda gaino","f","genderize_r_authors"
"giuseppe","","dito","giuseppe dito","m","genderize_r_authors"
"daniel","","sternheimer","daniel sternheimer","m","genderize_r_authors"
"linda","","smith","linda smith","f","genderize_r_authors"
"carol","","tenopir","carol tenopir","f","genderize_r_authors"
"lluis","","bonet","lluis bonet","u","genderize_r_authors"
"utlayan","","mohanty","utlayan mohanty","m","genderize_r_authors"
"michael","","herman","michael herman","m","genderize_r_authors"
"jack","","douglas","jack douglas","m","genderize_r_authors"
"jacek","","dudowitcz","jacek dudowitcz","u","genderize_r_authors"
"judy","","canning-glass","judy canning-glass","u","genderize_r_authors"
"selina","","lo","selina lo","u","genderize_r_authors"
"domenico","","pignone","domenico pignone","m","genderize_r_authors"
"karl","","hammer","karl hammer","m","genderize_r_authors"
"yves","marie","allioux","yves marie allioux","m","genderize_r_authors"
"julien","","bogousslavsky","julien bogousslavsky","m","genderize_r_authors"
"adolf","","pfefferbaum","adolf pfefferbaum","m","genderize_r_authors"
"ingolf","","joppich","ingolf joppich","u","genderize_r_authors"
"joel","","cooper","joel cooper","u","genderize_r_authors"
"stanislaw","","zmarlicki","stanislaw zmarlicki","m","genderize_r_authors"
"john","","sheehan","john sheehan","u","genderize_r_authors"
"geoffrey","","himes","geoffrey himes","m","genderize_r_authors"
"dieter","","stoeffler","dieter stoeffler","m","genderize_r_authors"
"david","","kring","david kring","m","genderize_r_authors"
"linda","","wang","linda wang","f","genderize_r_authors"
"gheorghe","","macovei","gheorghe macovei","u","genderize_r_authors"
"felix","","beck","felix beck","m","genderize_r_authors"
"linda","esther","oray","linda esther oray","u","genderize_r_authors"
"benjamin","","bederson","benjamin bederson","m","genderize_r_authors"
"leonard","","rosenberg","leonard rosenberg","u","genderize_r_authors"
"robin","","shakeshaft","robin shakeshaft","m","genderize_r_authors"
"dilanki","","ranmuthu","dilanki ranmuthu","f","genderize_r_authors"
"richard","","carlson","richard carlson","m","genderize_r_authors"
"john","","chambers","john chambers","m","genderize_r_authors"
"sean","","solomon","sean solomon","m","genderize_r_authors"
"anita","","money","anita money","u","genderize_r_authors"
"doug","","goff","doug goff","m","genderize_r_authors"
"scott","","wilkerson","scott wilkerson","m","genderize_r_authors"
"bill","","shea","bill shea","m","genderize_r_authors"
"pedro","","bravo-elizondo","pedro bravo-elizondo","m","genderize_r_authors"
"nicholas","","markham","nicholas markham","m","genderize_r_authors"
"sameer","","sarkar","sameer sarkar","m","genderize_r_authors"
"kieron","","o'connor","kieron o'connor","m","genderize_r_authors"
"shlomo","","melmed","shlomo melmed","m","genderize_r_authors"
"lilien","","ji","lilien ji","m","genderize_r_authors"
"kefeng","","liu","kefeng liu","m","genderize_r_authors"
"shing","tung","yau","shing tung yau","m","genderize_r_authors"
"vladimir","","levin","vladimir levin","m","genderize_r_authors"
"laurent","","schmitt","laurent schmitt","m","genderize_r_authors"
"josef","","zumr","josef zumr","u","genderize_r_authors"
"doug","","little","doug little","u","genderize_r_authors"
"robin","","giesecke","robin giesecke","u","genderize_r_authors"
